EQUIPO,ID_TEAM
Atlético Nacional,ffd4cd06
Rionegro Águilas,ffd4cd07
América de Cali,ffd4cd08
Independiente Medellín,ffd4cd09
Independiente Santa Fe,ffd4cd0a
Alianza Petrolera,ffd4cd0b
Unión Magdalena,ffd4cd0c
Atlético Junior,ffd4cd0d
Deportivo Pasto,ffd4cd0e
Atlético Huila,ffd4f40d
Deportes Tolima,ffd4f40e
Bucaramanga,ffd4f40f
Millonarios,ffd4f410
Once Caldas,ffd4f411
Boyacá Chicó,ffd4f412
Deportivo Cali,ffd4f413
Deportivo Pereira,ffd4f414
La Equidad,ffd4f415
Jaguares de Córdoba,ffd4f416
Envigado,ffd4f417
Manchester City,ffd4f418
Tottenham Hotspur,ffd4f419
Arsenal,ffd4f41a
Liverpool,ffd4f41b
Aston Villa,ffd4f41c
Brighton & Hove Albion,ffd4f41d
West Ham United,ffd4f41e
Newcastle United,ffd4f41f
Crystal Palace,ffd4f420
Manchester United,ffd4f421
Chelsea,ffd4f422
Nottingham Forest,ffd4f423
Fulham,ffd4f424
Brentford,ffd4f425
Wolverhampton Wanderers,ffd4f426
Everton,ffd4f427
Luton Town,ffd4f428
Burnley,ffd4f429
C Bournemouth,ffd4f42a
Sheffield United,ffd4f42b
Internazionale,ffd4f42c
Milan,ffd4f42d
Napoli,ffd4f42e
Juventus,ffd4f42f
Fiorentina,ffd4f430
Atalanta,ffd4f431
Lecce,ffd4f432
Bolonia,ffd4f433
Frosinone,ffd4f434
Torino,ffd4f435
Sassuolo,ffd4f436
Monza,ffd4f437
Roma,ffd4f438
Génova,ffd4f439
Hellas Verona,ffd4f43a
Lazio,ffd4f43b
Udinese,ffd4f43c
Salernitana,ffd4f43d
Empoli,ffd4f43e
Cagliari,ffd4f43f
Bayer Leverkusen,ffd4f440
VfB Stuttgart,ffd4f441
Bayern Munich,ffd4f442
Borussia Dortmund,ffd4f443
Leipzig,ffd4f444
Hoffenheim,ffd4f445
VfL Wolfsburg,ffd4f446
Freiburg,ffd4f447
Eintracht Frankfurt,ffd4f448
Heidenheim 1846,ffd4f449
Union Berlin,ffd4f44a
Werder Bremen,ffd4f44b
Borussia Monchengladbach,ffd4f44c
F. C. Augsburgo,ffd4f44d
Darmstadt 98,ffd4f44e
VfL Bochum,ffd4f44f
Cologne,ffd4f450
Mainz,ffd4f451
Mónaco,ffd4f452
Brest,ffd4f453
Stade de Reims,ffd4f454
Nice,ffd4f455
Paris Saint-Germain,ffd4f456
Stade Rennais,ffd4f457
Lille,ffd4f458
Strasbourg,ffd4f459
Montpellier,ffd4f45a
Le Havre,ffd4f45b
Toulouse,ffd4f45c
Marseille,ffd4f45d
Nantes,ffd4f45e
Metz,ffd4f45f
Lens,ffd4f460
Lorient,ffd4f461
Clermont Foot,ffd4f462
Lyon,ffd4f463
